"X";"Y";"Z";"PZ";"DZ";"PX";"DX";
"-1333.05";"1547.5";"-479.938";"-239.969";"65.3432";"-666.526";"246.255";"1.55579e-307";
"-1341.68";"1546.7";"-478.523";"-239.261";"65.949";"-670.84";"247.342";"1.55579e-307";
"-1348.73";"1546.07";"-477.068";"-238.534";"66.5176";"-674.363";"248.455";"1.55579e-307";
"-1355.22";"1546.68";"-475.355";"-237.677";"67.0413";"-677.611";"249.58";"1.55579e-307";
"-1361.27";"1547.69";"-473.33";"-236.665";"67.5266";"-680.635";"250.721";"1.55579e-307";
"-1368.55";"1550.37";"-470.286";"-235.143";"67.9725";"-684.275";"251.873";"1.55579e-307";
"-1373.9";"1553.48";"-467.345";"-233.673";"68.368";"-686.95";"253.04";"1.55579e-307";
"-1378.99";"1556.83";"-464.189";"-232.094";"68.7215";"-689.497";"254.214";"1.55579e-307";
"-1384.85";"1561.58";"-459.676";"-229.838";"69.0255";"-692.423";"255.39";"1.55579e-307";
"-1389.01";"1565.6";"-455.581";"-227.791";"69.2811";"-694.505";"256.574";"1.55579e-307";
"-1392.73";"1569.58";"-451.187";"-225.593";"69.4915";"-696.364";"257.758";"1.55579e-307";
"-1396.12";"1574.2";"-445.112";"-222.556";"69.6559";"-698.059";"258.937";"1.55579e-307";
"-1398.25";"1577.66";"-439.437";"-219.719";"69.7616";"-699.124";"260.102";"1.55579e-307";
"-1399.43";"1580.73";"-433.685";"-216.842";"69.818";"-699.715";"261.251";"1.55579e-307";
"-1399.96";"1583.77";"-426.128";"-213.064";"69.8194";"-699.978";"262.371";"1.55579e-307";
"-1399.81";"1586.47";"-419.404";"-209.702";"69.7652";"-699.906";"263.466";"1.55579e-307";
"-1398.89";"1588.29";"-412.58";"-206.29";"69.6603";"-699.445";"264.533";"1.55579e-307";
"-1397.52";"1589.97";"-405.642";"-202.821";"69.4995";"-698.761";"265.558";"1.55579e-307";
"-1395.48";"1591.96";"-396.972";"-198.486";"69.2891";"-697.738";"266.548";"1.55579e-307";
"-1393.27";"1593.1";"-390.074";"-195.037";"69.0221";"-696.634";"267.5";"1.55579e-307";
